Player Named,Player Nationality,Player Position,Player Age,90 Minutes Played,Shot-Creating Actions (SCA),Shot-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Goal-Creating Actions (GCA),Goal-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Matches Played
Mats Egbring,nl NED,DF,17-229,0.7,2.0,2.95,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrian Mazilu,ro ROU,FW,18-233,0.3,1.0,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordi Altena,nl NED,MF,20-151,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Viktor Gykeres,se SWE,FW,25-334,29.4,119.0,4.05,73.0,1.0,23.0,11.0,9.0,2.0,20.0,0.68,12.0,0.0,5.0,0.0,3.0,0.0,Matches
Pedro Gonalves,pt POR,"FW,MF",25-310,25.9,113.0,4.37,57.0,33.0,9.0,6.0,5.0,3.0,17.0,0.66,12.0,2.0,1.0,1.0,0.0,1.0,Matches
Morten Hjulmand,dk DEN,MF,24-313,23.0,53.0,2.31,45.0,0.0,0.0,2.0,4.0,2.0,4.0,0.17,3.0,0.0,0.0,1.0,0.0,0.0,Matches
Gonalo Incio,pt POR,DF,22-252,24.6,38.0,1.55,32.0,0.0,2.0,1.0,2.0,1.0,9.0,0.37,7.0,0.0,0.0,1.0,1.0,0.0,Matches
Sebastin Coates,uy URU,DF,33-209,22.3,19.0,0.85,14.0,0.0,0.0,5.0,0.0,0.0,4.0,0.18,2.0,0.0,0.0,2.0,0.0,0.0,Matches
Ousmane Diomande,ci CIV,DF,20-151,21.6,24.0,1.11,22.0,1.0,0.0,1.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Adn,es ESP,GK,36-356,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hidemasa Morita,jp JPN,MF,28-359,21.9,49.0,2.24,40.0,1.0,1.0,5.0,2.0,0.0,10.0,0.46,7.0,0.0,0.0,3.0,0.0,0.0,Matches
Nuno Santos,pt POR,"MF,DF",29-080,20.6,93.0,4.52,59.0,18.0,4.0,6.0,5.0,1.0,13.0,0.63,9.0,4.0,0.0,0.0,0.0,0.0,Matches
Geny Catamo,mz MOZ,"MF,DF",23-098,18.5,50.0,2.71,35.0,6.0,5.0,3.0,1.0,0.0,10.0,0.54,7.0,1.0,1.0,1.0,0.0,0.0,Matches
Ricardo Esgaio,pt POR,"MF,DF",30-353,14.1,44.0,3.12,42.0,1.0,1.0,0.0,0.0,0.0,4.0,0.28,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Francisco Trinco,pt POR,"FW,MF",24-126,15.9,64.0,4.03,50.0,2.0,6.0,5.0,1.0,0.0,14.0,0.88,13.0,0.0,0.0,1.0,0.0,0.0,Matches
Marcus Edwards,eng ENG,"FW,MF",25-152,14.7,88.0,5.97,60.0,8.0,13.0,5.0,2.0,0.0,13.0,0.88,9.0,0.0,3.0,0.0,1.0,0.0,Matches
Matheus Reis,br BRA,"DF,MF",29-075,15.2,36.0,2.37,34.0,1.0,1.0,0.0,0.0,0.0,10.0,0.66,9.0,0.0,1.0,0.0,0.0,0.0,Matches
Paulinho,pt POR,FW,31-176,12.6,34.0,2.69,31.0,1.0,1.0,0.0,0.0,1.0,5.0,0.4,4.0,0.0,0.0,0.0,0.0,1.0,Matches
Eduardo Quaresma,pt POR,DF,22-062,10.5,14.0,1.33,12.0,1.0,1.0,0.0,0.0,0.0,3.0,0.28,2.0,0.0,1.0,0.0,0.0,0.0,Matches
Daniel Bragana,pt POR,MF,24-342,10.3,29.0,2.8,19.0,0.0,0.0,1.0,4.0,5.0,4.0,0.39,3.0,0.0,0.0,0.0,0.0,1.0,Matches
Franco Israel,uy URU,GK,24-011,9.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jerry St Juste,nl NED,DF,27-197,5.7,6.0,1.06,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.53,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Lus Neto,pt POR,DF,35-343,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivn Fresneda,es ESP,"MF,DF",19-218,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dario Essugo,pt POR,MF,19-050,0.4,1.0,2.81,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.81,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Koba Koindredi,fr FRA,MF,22-189,0.3,1.0,2.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Afonso Bastardo,pt POR,MF,19-045,0.3,1.0,3.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mateus Fernandes,pt POR,FW,19-298,0.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafael Pontelo,br BRA,DF,21-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fredrik Aursnes,no NOR,"DF,MF",28-145,28.0,86.0,3.07,75.0,2.0,6.0,1.0,2.0,0.0,5.0,0.18,5.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicols Otamendi,ar ARG,DF,36-081,27.6,25.0,0.91,21.0,1.0,0.0,3.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafa Silva,pt POR,MF,30-352,26.1,119.0,4.56,85.0,0.0,12.0,9.0,11.0,2.0,17.0,0.65,14.0,0.0,1.0,1.0,1.0,0.0,Matches
Antnio Silva,pt POR,DF,20-186,27.4,20.0,0.73,19.0,0.0,0.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Anatolii Trubin,ua UKR,GK,22-276,26.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joo Mrio,pt POR,"FW,MF",31-105,24.1,84.0,3.49,70.0,1.0,1.0,6.0,2.0,4.0,12.0,0.5,7.0,1.0,0.0,2.0,1.0,1.0,Matches
ngel Di Mara,ar ARG,FW,36-079,22.8,158.0,6.92,96.0,33.0,13.0,10.0,5.0,1.0,20.0,0.88,14.0,5.0,0.0,1.0,0.0,0.0,Matches
Joo Neves,pt POR,MF,19-219,22.7,70.0,3.09,51.0,4.0,7.0,3.0,5.0,0.0,7.0,0.31,5.0,0.0,0.0,1.0,1.0,0.0,Matches
Orkun Kk,tr TUR,MF,23-126,17.6,89.0,5.07,71.0,9.0,2.0,5.0,0.0,2.0,15.0,0.85,13.0,1.0,0.0,1.0,0.0,0.0,Matches
Alexander Bah,dk DEN,DF,26-146,16.9,29.0,1.72,22.0,2.0,1.0,0.0,3.0,1.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Morato,br BRA,DF,22-308,15.7,23.0,1.47,22.0,0.0,0.0,0.0,1.0,0.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Florentino Lus,pt POR,MF,24-258,16.5,30.0,1.83,25.0,1.0,0.0,1.0,1.0,2.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Arthur Cabral,br BRA,FW,26-008,14.3,32.0,2.25,19.0,0.0,3.0,5.0,4.0,1.0,4.0,0.28,0.0,0.0,1.0,3.0,0.0,0.0,Matches
David Neres,br BRA,FW,27-061,12.1,59.0,4.89,41.0,4.0,8.0,5.0,1.0,0.0,14.0,1.16,9.0,0.0,3.0,1.0,1.0,0.0,Matches
Casper Tengstedt,dk DEN,FW,23-337,6.4,20.0,3.14,13.0,0.0,2.0,3.0,2.0,0.0,2.0,0.31,1.0,0.0,0.0,1.0,0.0,0.0,Matches
Petar Musa,hr CRO,FW,26-060,5.8,16.0,2.77,9.0,0.0,3.0,2.0,0.0,2.0,3.0,0.52,2.0,0.0,0.0,1.0,0.0,0.0,Matches
Toms Arajo,pt POR,DF,21-353,5.4,10.0,1.87,7.0,1.0,0.0,1.0,0.0,1.0,2.0,0.37,0.0,0.0,0.0,1.0,0.0,1.0,Matches
Tiago Gouveia,pt POR,FW,22-320,5.2,23.0,4.43,15.0,1.0,4.0,0.0,2.0,1.0,5.0,0.96,4.0,1.0,0.0,0.0,0.0,0.0,Matches
Samuel Soares,pt POR,GK,21-323,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
lvaro Carreras,es ESP,DF,21-041,3.3,7.0,2.09,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcos Leonardo,br BRA,"FW,MF",21-001,3.2,5.0,1.57,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.31,0.0,0.0,0.0,0.0,0.0,1.0,Matches
David Jursek,cz CZE,DF,23-270,2.9,14.0,4.86,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Chiquinho,pt POR,MF,28-289,2.1,12.0,5.65,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonalo Guedes,pt POR,"FW,MF",27-156,1.4,6.0,4.32,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.72,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Odisseas Vlachodimos,gr GRE,GK,30-007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Bernat,es ESP,DF,31-063,0.9,1.0,1.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benjamn Rollheiser,ar ARG,FW,24-040,0.9,4.0,4.5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joo Victor,br BRA,DF,25-291,0.3,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Marques,br BRA,DF,22-207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mihailo Risti,rs SRB,DF,28-185,0.0,3.0,270.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diogo Spencer,pt POR,DF,20-016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diogo Costa,pt POR,GK,24-227,29.7,7.0,0.24,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pep,br BRA,"MF,DF",27-069,28.7,115.0,4.01,95.0,0.0,10.0,2.0,8.0,0.0,13.0,0.45,11.0,0.0,1.0,0.0,1.0,0.0,Matches
Joo Mrio Lopes,pt POR,DF,24-121,22.4,59.0,2.63,54.0,1.0,3.0,1.0,0.0,0.0,7.0,0.31,6.0,0.0,0.0,1.0,0.0,0.0,Matches
Alan Varela,ar ARG,MF,22-304,21.7,60.0,2.76,49.0,6.0,1.0,4.0,0.0,0.0,6.0,0.28,5.0,0.0,0.0,1.0,0.0,0.0,Matches
Galeno,br BRA,"FW,MF",26-194,22.9,92.0,4.03,70.0,7.0,3.0,5.0,7.0,0.0,11.0,0.48,10.0,0.0,1.0,0.0,0.0,0.0,Matches
Pepe,pt POR,DF,41-067,20.9,32.0,1.53,29.0,0.0,0.0,3.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Evanilson,br BRA,FW,24-210,19.9,52.0,2.61,36.0,0.0,3.0,5.0,7.0,1.0,9.0,0.45,3.0,0.0,0.0,2.0,4.0,0.0,Matches
Wendell,br BRA,DF,30-288,21.6,74.0,3.42,60.0,8.0,1.0,1.0,3.0,1.0,7.0,0.32,5.0,2.0,0.0,0.0,0.0,0.0,Matches
Francisco Conceio,pt POR,"FW,MF",21-141,18.2,87.0,4.78,51.0,11.0,10.0,8.0,7.0,0.0,9.0,0.49,5.0,2.0,0.0,1.0,1.0,0.0,Matches
Nicols Gonzlez,es ESP,MF,22-121,16.3,54.0,3.32,45.0,0.0,2.0,6.0,0.0,1.0,5.0,0.31,4.0,0.0,0.0,1.0,0.0,0.0,Matches
Stephen Eustquio,ca CAN,MF,27-134,16.7,51.0,3.06,30.0,16.0,1.0,2.0,2.0,0.0,4.0,0.24,3.0,0.0,1.0,0.0,0.0,0.0,Matches
Mehdi Taremi,ir IRN,"FW,MF",31-290,15.0,37.0,2.46,28.0,0.0,1.0,3.0,5.0,0.0,5.0,0.33,3.0,0.0,1.0,1.0,0.0,0.0,Matches
Fbio Cardoso,pt POR,DF,30-014,13.4,16.0,1.2,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Otavio Ataide,br BRA,DF,22-012,9.0,18.0,2.0,16.0,0.0,0.0,2.0,0.0,0.0,1.0,0.11,0.0,0.0,0.0,1.0,0.0,0.0,Matches
David Carmo,ao ANG,DF,24-289,6.8,5.0,0.74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Z Pedro Figueiredo,pt POR,DF,26-332,7.3,7.0,0.96,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jorge Eduardo Snchez,mx MEX,DF,26-145,6.3,12.0,1.92,9.0,1.0,1.0,1.0,0.0,0.0,2.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivan Jaime Pajuelo,es ESP,"MF,FW",23-220,6.3,35.0,5.57,18.0,11.0,0.0,0.0,6.0,0.0,2.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Toni Martnez,es ESP,FW,26-308,5.8,11.0,1.91,9.0,0.0,0.0,1.0,1.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Andr Franco,pt POR,"MF,FW",26-021,4.9,26.0,5.29,19.0,5.0,0.0,2.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivn Marcano,es ESP,DF,36-315,4.1,4.0,0.98,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zaidu Sanusi,ng NGA,DF,26-325,3.2,7.0,2.21,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marko Gruji,rs SRB,MF,28-020,3.2,7.0,2.18,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.31,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Joo Miguel,pt POR,DF,24-020,2.2,4.0,1.86,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.93,1.0,1.0,0.0,0.0,0.0,0.0,Matches
Romrio Bar,pt POR,"MF,FW",24-099,2.1,6.0,2.84,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonalo Borges,pt POR,"MF,FW",23-035,3.1,22.0,6.97,17.0,0.0,2.0,1.0,2.0,0.0,3.0,0.95,2.0,0.0,0.0,0.0,1.0,0.0,Matches
Danny Loader,eng ENG,"FW,MF",23-249,2.3,12.0,5.17,11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.86,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Fran Navarro,es ESP,"FW,MF",26-090,1.9,4.0,2.08,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.52,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Cludio Ramos,pt POR,GK,32-169,1.3,1.0,0.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Otvio,pt POR,"MF,FW",29-084,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Martim Fernandes,pt POR,DF,18-106,1.0,4.0,4.04,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.02,1.0,0.0,1.0,0.0,0.0,0.0,Matches
Matheus,br BRA,GK,31-289,31.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian Borja,co COL,DF,31-075,24.2,59.0,2.43,46.0,8.0,2.0,0.0,3.0,0.0,7.0,0.29,7.0,0.0,0.0,0.0,0.0,0.0,Matches
Ricardo Horta,pt POR,"FW,MF",29-231,23.0,107.0,4.66,87.0,7.0,4.0,4.0,5.0,0.0,14.0,0.61,11.0,1.0,0.0,1.0,1.0,0.0,Matches
Victor Gomez,es ESP,DF,24-032,21.5,64.0,2.98,59.0,2.0,0.0,0.0,2.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Simon Banza,cd COD,FW,27-264,21.6,59.0,2.74,30.0,1.0,9.0,11.0,8.0,0.0,17.0,0.79,5.0,0.0,3.0,5.0,4.0,0.0,Matches
Joo Moutinho,pt POR,MF,37-238,20.5,91.0,4.43,69.0,17.0,0.0,1.0,4.0,0.0,5.0,0.24,5.0,0.0,0.0,0.0,0.0,0.0,Matches
lvaro djal,es ESP,"FW,MF",24-261,18.9,69.0,3.66,45.0,1.0,11.0,6.0,6.0,0.0,12.0,0.64,8.0,1.0,1.0,1.0,1.0,0.0,Matches
Rodrigo Zalazar,uy URU,MF,24-265,17.6,101.0,5.75,55.0,30.0,6.0,5.0,1.0,4.0,11.0,0.63,7.0,2.0,1.0,0.0,1.0,0.0,Matches
Abel Ruiz,es ESP,"FW,MF",24-096,18.7,52.0,2.78,45.0,0.0,2.0,1.0,4.0,0.0,6.0,0.32,4.0,0.0,0.0,1.0,1.0,0.0,Matches
Serdar Saat,tr TUR,DF,21-079,16.6,15.0,0.9,12.0,2.0,0.0,0.0,0.0,1.0,1.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Paulo Oliveira,pt POR,DF,32-116,16.6,9.0,0.54,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruma,pt POR,"FW,MF",29-192,16.2,80.0,4.93,59.0,2.0,12.0,7.0,0.0,0.0,9.0,0.55,7.0,0.0,1.0,1.0,0.0,0.0,Matches
Vitor Carvalho,br BRA,MF,26-342,13.6,17.0,1.25,14.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jos Fonte,pt POR,DF,40-133,15.8,10.0,0.63,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Sikou Niakat,ml MLI,DF,24-298,13.5,15.0,1.11,11.0,0.0,1.0,3.0,0.0,0.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Pizzi,pt POR,"MF,FW",34-210,9.4,53.0,5.61,40.0,9.0,1.0,1.0,2.0,0.0,6.0,0.64,3.0,1.0,0.0,1.0,1.0,0.0,Matches
Joe Mendes,se SWE,DF,21-124,9.2,19.0,2.06,16.0,1.0,0.0,0.0,2.0,0.0,4.0,0.43,3.0,1.0,0.0,0.0,0.0,0.0,Matches
Almoatasem Al Musrati,ly LBY,MF,28-027,8.9,18.0,2.02,14.0,0.0,0.0,3.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Roger Fernandes,gw GNB,"MF,FW",18-164,7.5,39.0,5.22,28.0,0.0,3.0,6.0,2.0,0.0,9.0,1.2,7.0,0.0,0.0,2.0,0.0,0.0,Matches
Andr Horta,pt POR,MF,27-178,6.1,28.0,4.56,22.0,4.0,0.0,0.0,2.0,0.0,2.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrin Marn,es ESP,DF,27-115,3.6,4.0,1.11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rony Lopes,pt POR,"FW,MF",28-127,3.9,19.0,4.86,11.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cher Ndour,it ITA,MF,19-281,2.1,2.0,0.97,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andr Castro,pt POR,MF,36-031,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nuno Matos,pt POR,DF,19-212,0.1,1.0,6.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jota Silva,pt POR,"FW,MF",24-276,27.9,74.0,2.66,46.0,3.0,9.0,6.0,9.0,1.0,11.0,0.39,8.0,1.0,2.0,0.0,0.0,0.0,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,27-031,26.1,29.0,1.11,22.0,1.0,0.0,6.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Toms Hndel,pt POR,MF,23-158,26.0,63.0,2.43,46.0,10.0,1.0,0.0,2.0,4.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Toms Ribeiro,pt POR,DF,25-003,24.2,18.0,0.74,15.0,0.0,0.0,2.0,1.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Tiago Silva,pt POR,MF,30-336,23.0,114.0,4.95,65.0,38.0,1.0,4.0,4.0,2.0,10.0,0.43,6.0,3.0,0.0,0.0,0.0,1.0,Matches
Bruno Gaspar,ao ANG,"MF,DF",31-012,22.5,66.0,2.94,56.0,5.0,2.0,2.0,1.0,0.0,7.0,0.31,7.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Varela,cv CPV,GK,29-181,23.5,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andr Silva,br BRA,FW,26-335,19.7,45.0,2.29,34.0,0.0,4.0,3.0,3.0,1.0,5.0,0.25,3.0,0.0,0.0,2.0,0.0,0.0,Matches
Toni Borevkovic,hr CRO,DF,26-320,19.7,9.0,0.46,5.0,0.0,0.0,4.0,0.0,0.0,2.0,0.1,0.0,0.0,0.0,2.0,0.0,0.0,Matches
Ricardo Mangas,pt POR,"MF,DF",26-045,18.9,39.0,2.06,27.0,1.0,0.0,4.0,6.0,1.0,8.0,0.42,3.0,0.0,0.0,1.0,3.0,1.0,Matches
Joo Mendes,pt POR,"FW,MF",29-195,16.0,71.0,4.44,48.0,7.0,8.0,5.0,3.0,0.0,6.0,0.37,3.0,0.0,1.0,2.0,0.0,0.0,Matches
Manuel Manu,pt POR,DF,22-326,16.7,17.0,1.02,15.0,0.0,0.0,1.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Afonso freitas,pt POR,"DF,MF",24-026,8.1,11.0,1.37,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nuno Santos,pt POR,"FW,MF",25-062,10.3,48.0,4.67,37.0,2.0,4.0,4.0,1.0,0.0,6.0,0.58,4.0,1.0,1.0,0.0,0.0,0.0,Matches
Daniel Bandeira,pt POR,MF,24-022,7.8,23.0,2.93,17.0,6.0,0.0,0.0,0.0,0.0,4.0,0.51,3.0,1.0,0.0,0.0,0.0,0.0,Matches
Miguel Magalhes,pt POR,"DF,MF",21-169,9.1,19.0,2.08,12.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Charles,br BRA,GK,30-089,7.5,2.0,0.27,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mikel Villanueva,ve VEN,DF,31-019,5.1,6.0,1.18,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nlson Oliveira,pt POR,FW,32-269,4.6,15.0,3.28,7.0,0.0,1.0,4.0,3.0,0.0,2.0,0.44,0.0,0.0,0.0,0.0,2.0,0.0,Matches
Kaio,br BRA,FW,20-078,3.8,11.0,2.9,7.0,0.0,2.0,0.0,2.0,0.0,1.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Andr Andr,pt POR,MF,34-251,4.6,8.0,1.73,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrin Butzke,es ESP,FW,25-034,4.0,5.0,1.25,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nelson,ao ANG,"DF,FW",26-089,4.5,15.0,3.31,13.0,0.0,1.0,0.0,1.0,0.0,2.0,0.44,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Z Carlos,pt POR,"MF,DF",22-186,4.5,15.0,3.31,11.0,1.0,1.0,0.0,1.0,1.0,2.0,0.44,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Safira,br BRA,FW,29-047,1.6,6.0,3.75,3.0,1.0,0.0,0.0,2.0,0.0,2.0,1.25,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Alberto costa,pt POR,DF,20-217,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kewin,br BRA,GK,28-191,29.0,5.0,0.17,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonalo Franco,pt POR,MF,23-168,27.2,57.0,2.09,46.0,1.0,1.0,4.0,5.0,0.0,7.0,0.26,5.0,0.0,1.0,0.0,1.0,0.0,Matches
Maracs,br BRA,DF,30-006,28.0,9.0,0.32,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,Matches
