Player Named,Player Nationality,Player Position,Player Age,90 Minutes Played,Shot-Creating Actions (SCA),Shot-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Goal-Creating Actions (GCA),Goal-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Matches Played
Thomas Partey,gh GHA,"MF,DF",30-325,6.0,20.0,3.33,19.0,0.0,0.0,0.0,1.0,0.0,4.0,0.67,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Aaron Ramsdale,eng ENG,GK,25-355,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emile Smith Rowe,eng ENG,MF,23-280,3.7,13.0,3.53,10.0,1.0,0.0,1.0,1.0,0.0,2.0,0.54,1.0,1.0,0.0,0.0,0.0,0.0,Matches
Fabio Vieira,pt POR,"MF,FW",23-339,3.3,12.0,3.64,7.0,1.0,0.0,1.0,3.0,0.0,5.0,1.52,1.0,1.0,0.0,0.0,3.0,0.0,Matches
Reiss Nelson,eng ENG,FW,24-145,3.0,9.0,3.02,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jurrin Timber,nl NED,DF,22-321,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cdric Soares,pt POR,DF,32-246,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mohamed Elneny,eg EGY,MF,31-297,0.3,1.0,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ethan Nwaneri,eng ENG,FW,17-043,0.2,1.0,6.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Julin lvarez,ar ARG,"MF,FW",24-093,29.2,117.0,4.01,74.0,28.0,4.0,10.0,1.0,0.0,14.0,0.48,12.0,1.0,0.0,0.0,1.0,0.0,Matches
